# Lightning emoji catalogue; Unicode Emoji 17.0; emojis crate 0.8.2
# emoji\tname\taliases\tcategory\tbaseEmoji\ttone
😮	face with open mouth	open_mouth	Smileys & Emotion	😮	none
😯	hushed face	hushed	Smileys & Emotion	😯	none
😲	astonished face	astonished	Smileys & Emotion	😲	none
😳	flushed face	flushed	Smileys & Emotion	😳	none
🫪	distorted face		Smileys & Emotion	🫪	none
🥺	pleading face	pleading_face	Smileys & Emotion	🥺	none
🥹	face holding back tears	face_holding_back_tears	Smileys & Emotion	🥹	none
😦	frowning face with open mouth	frowning	Smileys & Emotion	😦	none
😧	anguished face	anguished	Smileys & Emotion	😧	none
😨	fearful face	fearful	Smileys & Emotion	😨	none
😰	anxious face with sweat	cold_sweat	Smileys & Emotion	😰	none
😥	sad but relieved face	disappointed_relieved	Smileys & Emotion	😥	none
😢	crying face	cry	Smileys & Emotion	😢	none
😭	loudly crying face	sob	Smileys & Emotion	😭	none
😱	face screaming in fear	scream	Smileys & Emotion	😱	none
😖	confounded face	confounded	Smileys & Emotion	😖	none
😣	persevering face	persevere	Smileys & Emotion	😣	none
😞	disappointed face	disappointed	Smileys & Emotion	😞	none
😓	downcast face with sweat	sweat	Smileys & Emotion	😓	none
😩	weary face	weary	Smileys & Emotion	😩	none
😫	tired face	tired_face	Smileys & Emotion	😫	none
🥱	yawning face	yawning_face	Smileys & Emotion	🥱	none
😤	face with steam from nose	triumph	Smileys & Emotion	😤	none
😡	enraged face	rage pout	Smileys & Emotion	😡	none
😠	angry face	angry	Smileys & Emotion	😠	none
🤬	face with symbols on mouth	cursing_face	Smileys & Emotion	🤬	none
😈	smiling face with horns	smiling_imp	Smileys & Emotion	😈	none
👿	angry face with horns	imp	Smileys & Emotion	👿	none
💀	skull	skull	Smileys & Emotion	💀	none
☠️	skull and crossbones	skull_and_crossbones	Smileys & Emotion	☠️	none
💩	pile of poo	hankey poop shit	Smileys & Emotion	💩	none
🤡	clown face	clown_face	Smileys & Emotion	🤡	none
👹	ogre	japanese_ogre	Smileys & Emotion	👹	none
👺	goblin	japanese_goblin	Smileys & Emotion	👺	none
👻	ghost	ghost	Smileys & Emotion	👻	none
👽	alien	alien	Smileys & Emotion	👽	none
👾	alien monster	space_invader	Smileys & Emotion	👾	none
🤖	robot	robot	Smileys & Emotion	🤖	none
😺	grinning cat	smiley_cat	Smileys & Emotion	😺	none
😸	grinning cat with smiling eyes	smile_cat	Smileys & Emotion	😸	none
😹	cat with tears of joy	joy_cat	Smileys & Emotion	😹	none
😻	smiling cat with heart-eyes	heart_eyes_cat	Smileys & Emotion	😻	none
😼	cat with wry smile	smirk_cat	Smileys & Emotion	😼	none
😽	kissing cat	kissing_cat	Smileys & Emotion	😽	none
🙀	weary cat	scream_cat	Smileys & Emotion	🙀	none
😿	crying cat	crying_cat_face	Smileys & Emotion	😿	none
😾	pouting cat	pouting_cat	Smileys & Emotion	😾	none
🙈	see-no-evil monkey	see_no_evil	Smileys & Emotion	🙈	none
🙉	hear-no-evil monkey	hear_no_evil	Smileys & Emotion	🙉	none
🙊	speak-no-evil monkey	speak_no_evil	Smileys & Emotion	🙊	none
💌	love letter	love_letter	Smileys & Emotion	💌	none
💘	heart with arrow	cupid	Smileys & Emotion	💘	none
💝	heart with ribbon	gift_heart	Smileys & Emotion	💝	none
💖	sparkling heart	sparkling_heart	Smileys & Emotion	💖	none
💗	growing heart	heartpulse	Smileys & Emotion	💗	none
💓	beating heart	heartbeat	Smileys & Emotion	💓	none
💞	revolving hearts	revolving_hearts	Smileys & Emotion	💞	none
💕	two hearts	two_hearts	Smileys & Emotion	💕	none
💟	heart decoration	heart_decoration	Smileys & Emotion	💟	none
❣️	heart exclamation	heavy_heart_exclamation	Smileys & Emotion	❣️	none
💔	broken heart	broken_heart	Smileys & Emotion	💔	none
❤️‍🔥	heart on fire	heart_on_fire	Smileys & Emotion	❤️‍🔥	none
❤️‍🩹	mending heart	mending_heart	Smileys & Emotion	❤️‍🩹	none
❤️	red heart	heart	Smileys & Emotion	❤️	none
🩷	pink heart	pink_heart	Smileys & Emotion	🩷	none
🧡	orange heart	orange_heart	Smileys & Emotion	🧡	none
💛	yellow heart	yellow_heart	Smileys & Emotion	💛	none
💚	green heart	green_heart	Smileys & Emotion	💚	none
💙	blue heart	blue_heart	Smileys & Emotion	💙	none
🩵	light blue heart	light_blue_heart	Smileys & Emotion	🩵	none
💜	purple heart	purple_heart	Smileys & Emotion	💜	none
🤎	brown heart	brown_heart	Smileys & Emotion	🤎	none
🖤	black heart	black_heart	Smileys & Emotion	🖤	none
